RT_title,RT_aud_score,RT_crit_score,RT_mpaa_rating,RT_runtime,RT_year,num_title,num_month,num_day,num_year,num_budget,num_gross
Harry Potter and the Prisoner of Azkaban,86,91,PG,142,2004,Harry Potter and the Prisoner of Azkaban,6,4,2004,130000000,249538952
The Bourne Ultimatum,91,94,PG-13,115,2007,The Bourne Ultimatum,8,3,2007,130000000,227471070
Kung Fu Panda,82,87,PG,88,2008,Kung Fu Panda,6,6,2008,130000000,215434591
Puss in Boots,68,84,PG,90,2011,Puss in Boots,10,28,2011,130000000,149260504
Megamind,71,73,PG,96,2010,Megamind,11,5,2010,130000000,148415853
Bad Boys II,79,23,R,147,2003,Bad Boys II,7,18,2003,130000000,138540870
Salt,59,62,PG-13,100,2010,Salt,7,23,2010,130000000,118311368
The Adventures of Tintin,74,75,PG,107,2011,The Adventures of Tintin,12,21,2011,130000000,77591831
Australia,65,55,PG-13,165,2008,Australia,11,26,2008,130000000,49554002
R.I.P.D.,39,13,PG-13,96,2013,RIPD,7,19,2013,130000000,33618855
Dinosaur,46,65,PG,82,2000,Dinosaur,5,19,2000,127500000,137748063
The Matrix Reloaded,72,73,R,138,2003,The Matrix Reloaded,5,15,2003,127000000,281553689
Harry Potter and the Deathly Hallows - Part 2,89,96,PG-13,131,2011,Harry Potter and the Deathly Hallows Part II,7,15,2011,125000000,381011219
Harry Potter and the Sorcerer's Stone,81,80,PG,152,2001,Harry Potter and the Sorcerers Stone,11,16,2001,125000000,317575550
Pirates of the Caribbean: The Curse of the Black Pearl,86,79,PG-13,143,2003,Pirates of the Caribbean The Curse of the Black Pearl,7,9,2003,125000000,305411224
The Da Vinci Code,57,25,PG-13,149,2006,The Da Vinci Code,5,19,2006,125000000,217536138
X2: X-Men United,84,87,PG-13,134,2003,X2,5,2,2003,125000000,214949694
Fast Five,82,77,PG-13,131,2011,Fast Five,4,29,2011,125000000,209837675
The Day After Tomorrow,50,45,PG-13,124,2004,The Day After Tomorrow,5,28,2004,125000000,186740799
Clash of the Titans,40,28,PG-13,106,2010,Clash of the Titans,4,1,2010,125000000,163214888
Godzilla,29,25,PG-13,98,1998,Godzilla,5,19,1998,125000000,136314294
Batman & Robin,17,12,PG-13,127,1997,Batman  Robin,6,20,1997,125000000,107325195
The 13th Warrior,66,33,R,103,1999,The 13th Warrior,8,27,1999,125000000,32698899
How the Grinch Stole Christmas,55,53,PG,105,2000,How the Grinch Stole Christmas,11,17,2000,123000000,260044825
Mission: Impossible 2,44,57,PG-13,123,2000,Mission Impossible 2,5,24,2000,120000000,215409889
The Perfect Storm,64,47,PG-13,129,2000,The Perfect Storm,6,30,2000,120000000,182618434
Fantastic Four: Rise of the Silver Surfer,52,37,PG,92,2007,Fantastic Four Rise of the Silver Surfer,6,15,2007,120000000,131921738
Life of Pi,85,87,PG,127,2012,Life of Pi,11,21,2012,120000000,124987022
Ghost Rider,48,26,PG-13,110,2007,Ghost Rider,2,16,2007,120000000,115802596
Charlie's Angels - Full Throttle,41,44,PG-13,105,2003,Charlies Angels Full Throttle,6,27,2003,120000000,100814328
Elysium,60,68,R,97,2013,Elysium,8,9,2013,120000000,93050117
Oblivion,61,54,PG-13,125,2013,Oblivion,4,19,2013,120000000,89107235
Stuart Little 2,40,81,PG,75,2002,Stuart Little 2,7,19,2002,120000000,64956806
The Chronicles of Riddick,66,29,PG-13,120,2004,The Chronicles of Riddick,6,11,2004,120000000,57712751
Speed Racer,60,39,PG,135,2008,Speed Racer,5,9,2008,120000000,43945766
The Island,64,40,PG-13,136,2005,The Island,7,22,2005,120000000,35818913
How Do You Know,25,32,PG-13,121,2010,How Do You Know,12,17,2010,120000000,30212620
Knight & Day,49,53,PG-13,109,2010,Knight and Day,6,23,2010,117000000,76423035
Star Wars: Episode I - The Phantom Menace,61,57,PG,131,1999,Star Wars Ep I The Phantom Menace,5,19,1999,115000000,474544677
Star Wars: Episode III - Revenge of the Sith 3D,65,80,PG-13,140,2005,Star Wars Ep III Revenge of the Sith,5,19,2005,115000000,380270577
Star Wars: Episode II - Attack of the Clones 3D,60,67,PG,143,2002,Star Wars Ep II Attack of the Clones,5,16,2002,115000000,310676740
The Wolverine,70,69,PG-13,136,2013,The Wolverine,7,26,2013,115000000,132556852
Dante's Peak,37,27,PG-13,109,1997,Dantes Peak,2,7,1997,115000000,67163857
Windtalkers,51,33,R,134,2002,Windtalkers,6,14,2002,115000000,40914068
Gulliver's Travels,27,21,PG,87,2010,Gullivers Travels,12,25,2010,112000000,42779261
Gravity,84,97,PG-13,124,2013,Gravity,10,4,2013,110000000,264802800
Night at the Museum,67,44,PG,108,2006,Night at the Museum,12,22,2006,110000000,250863268
Mr. & Mrs. Smith,58,59,PG-13,92,2005,Mr And Mrs Smith,6,10,2005,110000000,186336279
The Smurfs,44,22,PG,103,2011,The Smurfs,7,29,2011,110000000,142614158
The Matrix Revolutions,61,36,R,129,2003,The Matrix Revolutions,11,5,2003,110000000,139259759
Live Free or Die Hard,86,81,PG-13,128,2007,Live Free or Die Hard,6,27,2007,110000000,134529403
Ocean's Twelve,61,55,PG-13,125,2004,Oceans Twelve,12,10,2004,110000000,125531634
Tomorrow Never Dies,54,57,PG-13,120,1997,Tomorrow Never Dies,12,19,1997,110000000,125304276
The Patriot,81,62,R,168,2000,The Patriot,6,28,2000,110000000,113330342
The Aviator,79,87,PG-13,170,2004,The Aviator,12,17,2004,110000000,102608827
The Green Hornet,44,43,PG-13,119,2011,The Green Hornet,1,14,2011,110000000,98780042
Real Steel,73,60,PG-13,126,2011,Real Steel,10,7,2011,110000000,85463309
The A-Team,66,47,PG-13,119,2010,The ATeam,6,11,2010,110000000,77222099
The Smurfs 2,58,14,PG,105,2013,The Smurfs 2,7,31,2013,110000000,71017784
The Taking of Pelham 1 2 3,52,51,R,106,2009,The Taking of Pelham 123,6,12,2009,110000000,65452312
Ender's Game,70,61,PG-13,113,2013,Enders Game,11,1,2013,110000000,61737191
Home on the Range,28,54,PG,76,2004,Home on the Range,4,2,2004,110000000,50026353
Speed 2 - Cruise Control,16,3,PG-13,125,1997,Speed II Cruise Control,6,13,1997,110000000,48097081
Kingdom of Heaven,73,39,R,145,2005,Kingdom of Heaven,5,6,2005,110000000,47398413
Around the World in 80 Days,34,31,PG,119,2004,Around the World in 80 Days,6,16,2004,110000000,24004159
The Lord of the Rings: The Fellowship of the Ring,95,91,PG-13,165,2001,The Lord of the Rings The Fellowship of the Ring,12,19,2001,109000000,315544750
Dr. Seuss - The Cat in the Hat,30,10,PG,82,2003,The Cat in the Hat,11,21,2003,109000000,101018283
Ali,65,67,R,167,2001,Ali,12,25,2001,109000000,58183966
"I, Robot",70,58,PG-13,115,2004,I Robot,7,16,2004,105000000,144801023
Stuart Little,41,66,PG,83,1999,Stuart Little,12,17,1999,105000000,140015224
The Princess and the Frog,74,84,G,95,2009,The Princess and the Frog,11,25,2009,105000000,104400899
"10,000 B.C.",38,8,PG-13,109,2008,10000 BC,3,7,2008,105000000,94784201
Town & Country,15,13,R,105,2001,Town  Country,4,27,2001,105000000,6712451
Gone in 60 Seconds (Gone in Sixty Seconds),78,25,PG-13,117,2000,Gone in 60 Seconds,6,9,2000,103300000,101643008
Gladiator,87,76,R,171,2000,Gladiator,5,5,2000,103000000,187683805
The Hangover Part III,45,19,R,112,2013,The Hangover 3,5,23,2013,103000000,112200072
Public Enemies,59,68,R,140,2009,Public Enemies,7,1,2009,102500000,97104620
Casino Royale,89,95,PG-13,144,2006,Casino Royale,11,17,2006,102000000,167365000
Minority Report,79,91,PG-13,140,2002,Minority Report,6,21,2002,102000000,132024714
Cloud Atlas,67,66,R,172,2012,Cloud Atlas,10,26,2012,102000000,27108272
Harry Potter and the Chamber of Secrets,79,82,PG,161,2002,Harry Potter and the Chamber of Secrets,11,15,2002,100000000,261987880
Terminator 2: Judgment Day,94,92,R,150,1991,Terminator 2 Judgment Day,7,2,1991,100000000,204859496
Batman Forever,34,41,PG-13,82,1995,Batman Forever,6,16,1995,100000000,184031112
Planet of the Apes,28,45,PG-13,243,2001,Planet of the Apes,7,27,2001,100000000,180011740
National Treasure,77,44,PG,130,2004,National Treasure,11,19,2004,100000000,173005002
Django Unchained,92,88,R,165,2012,Django Unchained,12,25,2012,100000000,162805434
Little Fockers,35,10,PG-13,98,2010,Little Fockers,12,22,2010,100000000,148438600
True Lies,76,72,R,141,1994,True Lies,7,15,1994,100000000,146282411
American Gangster,87,80,R,157,2007,American Gangster,11,2,2007,100000000,130164645
Cloudy With a Chance of Meatballs,71,87,PG,81,2009,Cloudy with a Chance of Meatballs,9,18,2009,100000000,124870275
Lemony Snicket's A Series of Unfortunate Events,63,72,PG,107,2004,Lemony Snickets A Series of Unfortunate Events,12,17,2004,100000000,118627117
Epic,66,64,PG,102,2013,Epic,5,24,2013,100000000,107518682
Eraser,39,36,R,115,1996,Eraser,6,21,1996,100000000,101295562
The Hunchback of Notre Dame,69,73,G,50,1996,The Hunchback of Notre Dame,6,21,1996,100000000,100138851
The Emperor's New Groove,84,85,G,79,2000,The Emperors New Groove,12,15,2000,100000000,89296573
The Expendables 2,68,65,R,102,2012,The Expendables 2,8,17,2012,100000000,85028192
Where the Wild Things Are,57,73,PG,101,2009,Where the Wild Things Are,10,16,2009,100000000,77233467
Eragon,47,16,PG,103,2006,Eragon,12,15,2006,100000000,75030163
End of Days,33,11,R,122,1999,End of Days,11,24,1999,100000000,66889043
The Stepford Wives,30,26,PG-13,93,2004,The Stepford Wives,6,11,2004,100000000,59475623
Surf's Up,70,78,PG,85,2007,Surfs Up,6,8,2007,100000000,58867694
Blood Diamond,90,62,R,143,2006,Blood Diamond,12,8,2006,100000000,57377916
Legend of the Guardians: The Owls of Ga'Hoole,64,50,PG,90,2010,Legend of the Guardians The Owls of GaHoole 3D,9,24,2010,100000000,55675313
Starship Troopers,69,63,R,129,1997,Starship Troopers,11,7,1997,100000000,54768952
Land of the Lost,32,26,PG-13,102,2009,Land of the Lost,6,5,2009,100000000,49438370
Peter Pan,74,77,PG,113,2003,Peter Pan,12,25,2003,100000000,48417850
Catwoman,18,9,PG-13,101,2004,Catwoman,7,23,2004,100000000,40202379
Treasure Planet,69,68,PG,95,2002,Treasure Planet,11,27,2002,100000000,38120554
Green Zone,57,53,R,115,2010,Green Zone,3,12,2010,100000000,35497337
Son of the Mask,16,6,PG,95,2005,Son of the Mask,2,18,2005,100000000,17018422
The Adventures of Pluto Nash,16,5,PG-13,94,2002,The Adventures of Pluto Nash,8,16,2002,100000000,4411102
The Mummy Returns,64,47,PG-13,129,2001,The Mummy Returns,5,4,2001,98000000,202007640
Gangs of New York,81,75,R,166,2002,Gangs of New York,12,20,2002,97000000,77730500
Ice Age: Continental Drift,63,37,PG,87,2012,Ice Age Continental Drift,7,13,2012,95000000,161321843
Black Hawk Down,88,76,R,152,2001,Black Hawk Down,12,28,2001,95000000,108638745
Sex and the City 2,43,15,R,147,2010,Sex and the City 2,5,27,2010,95000000,95347692
Percy Jackson & the Olympians: The Lightning Thief,54,49,PG,83,2010,Percy Jackson  the Olympians The Lightning Thief,2,12,2010,95000000,88768303
Unstoppable,73,86,PG-13,98,2010,Unstoppable,11,12,2010,95000000,81562942
The Fifth Element,87,71,PG-13,126,1997,The Fifth Element,5,9,1997,95000000,63570862
The Road to El Dorado,64,49,PG,89,2000,The Road to El Dorado,3,31,2000,95000000,50802661
The Lovely Bones,52,32,PG-13,135,2009,The Lovely Bones,12,11,2009,95000000,44114232
Finding Nemo,86,99,G,100,2003,Finding Nemo,5,30,2003,94000000,380529370
The Lord of the Rings: The Return of the King,86,94,PG-13,201,2003,The Lord of the Rings The Return of the King,12,17,2003,94000000,377845905
The Lord of the Rings: The Two Towers,95,96,PG-13,180,2002,The Lord of the Rings The Two Towers,12,18,2002,94000000,342548984
Lara Croft - Tomb Raider,48,19,PG-13,93,2001,Lara Croft Tomb Raider,6,15,2001,94000000,131144183
Jurassic Park III,36,49,PG-13,92,2001,Jurassic Park III,7,18,2001,93000000,181166115
Rise of the Planet of the Apes,77,82,PG-13,105,2011,Rise of the Planet of the Apes,8,5,2011,93000000,176760185
The Spiderwick Chronicles,63,80,PG,97,2008,The Spiderwick Chronicles,2,14,2008,92500000,71195053
The Incredibles,74,97,PG,115,2004,The Incredibles,11,5,2004,92000000,261441092
A Good Day To Die Hard,42,14,R,97,2013,A Good Day to Die Hard,2,14,2013,92000000,67349198
The Alamo,45,30,PG-13,137,2004,The Alamo,4,9,2004,92000000,22406362
Cutthroat Island,40,37,PG-13,118,1995,Cutthroat Island,12,22,1995,92000000,10017322
Men in Black,79,91,PG-13,98,1997,Men in Black,7,1,1997,90000000,250690539
Toy Story 2,85,100,G,92,1999,Toy Story 2,11,19,1999,90000000,245852179
Rush Hour 2,74,52,PG-13,90,2001,Rush Hour 2,8,3,2001,90000000,226164286
Sherlock Holmes,77,70,PG-13,129,2009,Sherlock Holmes,12,25,2009,90000000,209028679
Ice Age: Dawn of the Dinosaurs (Ice Age 3),63,45,PG,94,2009,Ice Age Dawn of the Dinosaurs,7,1,2009,90000000,196573705
What Lies Beneath,59,46,PG-13,130,2000,What Lies Beneath,7,21,2000,90000000,155464351
Rio,71,72,G,99,2011,Rio,4,15,2011,90000000,143619809
The Departed,94,92,R,152,2006,The Departed,10,6,2006,90000000,133311000
Charlie's Angels,45,67,PG-13,98,2000,Charlies Angels,11,3,2000,90000000,125305545
Mulan,84,86,G,50,1998,Mulan,6,19,1998,90000000,120620254
Tropic Thunder,70,83,R,107,2008,Tropic Thunder,8,13,2008,90000000,110461307
The Girl with the Dragon Tattoo,86,86,R,157,2011,The Girl with the Dragon Tattoo,12,20,2011,90000000,102515793
Contact,78,63,PG,150,1997,Contact,7,11,1997,90000000,100920329
