Movie,budget,dom_gross,year,month,day,RT_title,RT_aud_score,RT_crit_score,RT_runtime,RT_cast1,RT_cast2,RT_cast3,imdb_id,Metascore,Language,Director,Genre,imdbRating,imdbVotes,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
I Dreamed of Africa,34000000,6543194,2000,5,5,I Dreamed of Africa,58.0,9.0,120.0,Kim Basinger,Vincent Perez,Liam Aiken,tt0167203,33.0,English,Hugh Hudson,"Adventure, Drama, Romance",5.5,3211.0,1,0,0,4
A Few Good Men,33000000,141340178,1992,12,11,A Few Good Men,89.0,81.0,138.0,Tom Cruise,Jack Nicholson,Demi Moore,tt0104257,62.0,English,Rob Reiner,"Crime, Drama, Mystery",7.6,143586.0,0,1,0,4
Big Momma's House,33000000,117559438,2000,6,2,Big Momma's House,57.0,30.0,98.0,Martin Lawrence,Nia Long,Paul Giamatti,tt0208003,33.0,English,Raja Gosnell,"Action, Comedy, Crime",5.0,53117.0,1,0,0,4
Exit Wounds,33000000,51758599,2001,3,16,Exit Wounds,46.0,32.0,95.0,Steven Seagal,DMX,Isaiah Washington,tt0242445,39.0,English,Andrzej Bartkowiak,"Action, Comedy, Crime",5.5,23697.0,0,1,0,4
Step Up Revolution,33000000,35074677,2012,7,27,Step Up Revolution,69.0,42.0,98.0,Ryan Guzman,Kathryn McCormick,Misha Gabriel,tt1800741,43.0,English,Scott Speer,"Drama, Music, Romance",6.5,29877.0,1,0,0,4
Snakes on a Plane,33000000,34020814,2006,8,18,Snakes on a Plane,50.0,68.0,106.0,Samuel L. Jackson,Julianna Margulies,Nathan Phillips,tt0417148,58.0,English,David R. Ellis,"Action, Thriller",5.7,102141.0,0,1,0,4
The Punisher,33000000,33664370,2004,4,16,The Punisher,64.0,29.0,123.0,Thomas Jane,John Travolta,Will Patton,tt0330793,33.0,English,Jonathan Hensleigh,"Action, Crime, Drama",6.4,98286.0,0,1,0,4
The Watcher,33000000,28946615,2000,9,8,The Watcher,29.0,10.0,97.0,James Spader,Marisa Tomei,Keanu Reeves,tt0204626,22.0,"English, Vietnamese",Joe Charbanic,"Crime, Mystery, Thriller",5.3,19520.0,0,1,0,4
Safe,33000000,17142080,2012,4,27,Safe,60.0,57.0,94.0,Jason Statham,Catherine Chan,Robert John Burke,tt1656190,55.0,"English, Mandarin, Russian",Boaz Yakin,"Action, Crime, Thriller",6.5,57020.0,0,1,0,4
Doomsday,33000000,11008770,2008,3,14,Doomsday,45.0,51.0,109.0,Rhona Mitra,Bob Hoskins,Adrian Lester,tt0483607,51.0,English,Neil Marshall,"Action, Sci-Fi",6.0,54754.0,0,1,0,4
